college,state,division,type
Nova Southeastern University,"22,830",Division II,Sunshine State Conference
Wayne State University,"23,553",Division II,Great Lakes Intercollegiate Athletic Conference
Simon Fraser University,"26,776",Division II,Great Northwest Athletic Conference
"California State Polytechnic University, Pomona","27,196",Division II,California Collegiate Athletic Association
Adams State University,"3,007",Division II,Rocky Mountain Athletic Conference
Rollins College,"3,047",Division II,Sunshine State Conference
University of Charleston,"3,051",Division II,Mountain East Conference
Tuskegee University,"3,121",Division II,Southern Intercollegiate Athletic Conference
University of Montevallo,"3,142",Division II,Gulf South Conference
Trevecca Nazarene University,"3,196",Division II,Gulf South Conference
Savannah State University,"3,208",Division II,Southern Intercollegiate Athletic Conference
West Virginia State University,"3,247",Division II,Mountain East Conference
Holy Family University,"3,278",Division II,Central Atlantic Collegiate Conference
Rogers State University,"3,281",Division II,Mid-America Intercollegiate Athletics Association
St. Edward's University,"3,309",Division II,Lone Star Conference
Fairmont State University,"3,325",Division II,Mountain East Conference
Shepherd University,"3,339",Division II,Pennsylvania State Athletic Conference
Black Hills State University,"3,346",Division II,Rocky Mountain Athletic Conference
Frostburg State University,"3,422",Division II,Mountain East Conference
Wingate University,"3,424",Division II,South Atlantic Conference
St. Mary's University,"3,457",Division II,Lone Star Conference
Rockhurst University,"3,496",Division II,Great Lakes Valley Conference
Lynn University,"3,520",Division II,Sunshine State Conference
Concordia University-Irvine,"3,522",Division II,Pacific West Conference
Western New Mexico University,"3,531",Division II,Lone Star Conference
Fort Lewis College,"3,544",Division II,Rocky Mountain Athletic Conference
Western Colorado University,"3,548",Division II,Rocky Mountain Athletic Conference
Cameron University,"3,559",Division II,Lone Star Conference
Truman State University,"3,664",Division II,Great Lakes Valley Conference
Georgia Southwestern State University,"3,704",Division II,Peach Belt Conference
Northern State University,"3,711",Division II,Northern Sun Intercollegiate Conference
Lee University,"3,714",Division II,Gulf South Conference
Colorado State University-Pueblo,"3,716",Division II,Rocky Mountain Athletic Conference
Missouri Western State University,"3,716",Division II,Mid-America Intercollegiate Athletics Association
Tiffin University,"3,726",Division II,Great Midwest Athletic Conference
University of Mary,"3,801",Division II,Northern Sun Intercollegiate Conference
Western Oregon University,"3,823",Division II,Great Northwest Athletic Conference
University of Bridgeport,"3,838",Division II,Central Atlantic Collegiate Conference
University of South Carolina Aiken,"3,855",Division II,Peach Belt Conference
East Central University,"3,935",Division II,Great American Conference
University of Wisconsin-Parkside,"3,947",Division II,Great Lakes Intercollegiate Athletic Conference
Bemidji State University,"4,076",Division II,Northern Sun Intercollegiate Conference
Montana State University Billings,"4,129",Division II,Great Northwest Athletic Conference
Missouri Southern State University,"4,147",Division II,Mid-America Intercollegiate Athletics Association
Palm Beach Atlantic University,"4,147",Division II,Sunshine State Conference
Dallas Baptist University[b],"4,157",Division II,Lone Star Conference
Winston-Salem State University,"4,192",Division II,Central Intercollegiate Athletic Association
University of the District of Columbia,"4,202",Division II,East Coast Conference
Mississippi College,"4,250",Division II,Gulf South Conference
Clark Atlanta University,"4,252",Division II,Southern Intercollegiate Athletic Conference
Francis Marion University,"4,261",Division II,Conference Carolinas
Lander University,"4,423",Division II,Peach Belt Conference
Anderson University,"4,519",Division II,South Atlantic Conference
Bentley University,"4,526",Division II,Northeast-10 Conference
Emporia State University,"4,557",Division II,Mid-America Intercollegiate Athletics Association
Harding University,"4,608",Division II,Great American Conference
Regis University,"4,627",Division II,Rocky Mountain Athletic Conference
University of Illinois at Springfield,"4,628",Division II,Great Lakes Valley Conference
Gannon University,"4,665",Division II,Pennsylvania State Athletic Conference
Wayne State College,"4,666",Division II,Northern Sun Intercollegiate Conference
Southern Arkansas University,"4,733",Division II,Great American Conference
Hawai'i Pacific University,"4,748",Division II,Pacific West Conference
Point Loma Nazarene University,"4,813",Division II,Pacific West Conference
Molloy University,"4,845",Division II,East Coast Conference
Davenport University,"4,848",Division II,Great Lakes Intercollegiate Athletic Conference
University of Findlay,"5,057",Division II,Great Midwest Athletic Conference
Southwestern Oklahoma State University,"5,163",Division II,Great American Conference
Shippensburg University of Pennsylvania,"5,165",Division II,Pennsylvania State Athletic Conference
Auburn University at Montgomery,"5,219",Division II,Gulf South Conference
Midwestern State University,"5,324",Division II,Lone Star Conference
Washburn University,"5,327",Division II,Mid-America Intercollegiate Athletics Association
University of Indianapolis,"5,447",Division II,Great Lakes Valley Conference
Biola University,"5,448",Division II,Pacific West Conference
University of Arkansas-Fort Smith,"5,463",Division II,Mid-America Intercollegiate Athletics Association
Minnesota State University Moorhead,"5,547",Division II,Northern Sun Intercollegiate Conference
Upper Iowa University,"5,559",Division II,Great Lakes Valley Conference
Virginia State University,"5,605",Division II,Central Intercollegiate Athletic Association
East Stroudsburg University of Pennsylvania,"5,636",Division II,Pennsylvania State Athletic Conference
Eastern New Mexico University,"5,737",Division II,Lone Star Conference
Pittsburg State University,"5,774",Division II,Mid-America Intercollegiate Athletics Association
Southeastern Oklahoma State University,"5,801",Division II,Great American Conference
University of Nebraska at Kearney,"5,881",Division II,Mid-America Intercollegiate Athletics Association
Concordia University-St. Paul,"5,928",Division II,Northern Sun Intercollegiate Conference
"California State Polytechnic University, Humboldt","6,045",Division II,California Collegiate Athletic Association
Winona State University,"6,072",Division II,Northern Sun Intercollegiate Conference
