chapter_name,university,city,state_province,country,region
Epsilon Sigma,Florida Southern College,Lakeland,FL,United States,Central Florida
Epsilon Tau,Murray State University,Murray,KY,United States,Mississippi River
Epsilon Theta,San Jose State University,San Jose,CA,United States,California Bay Area
Epsilon Xi,University of Houston,Houston,TX,United States,East Texas
Epsilon Zeta,Florida State University,Tallahassee,FL,United States,North Florida
Eta,University of Mississippi,Oxford,MS,United States,Southern
Eta Alpha,Eastern Kentucky University,Richmond,KY,United States,Central Kentucky
Eta Beta,California State University-Long Beach,Long Beach,CA,United States,Los Angeles Coastal
Eta Chi,Youngstown State University,Youngstown,OH,United States,Northern Ohio
Eta Delta,Tennessee Tech University,Cookeville,TN,United States,East Tennessee
Eta Epsilon,University of South Alabama,Mobile,AL,United States,Alabama/Gulf Coast
Eta Gamma,Middle Tennessee State University,Murfreesboro,TN,United States,Mid-South
Eta Iota,Embry-Riddle Aeronautical University-Daytona Beach,Daytona Beach,FL,United States,Central Florida
Eta Kappa,Missouri State University,Springfield,MO,United States,Missouri
Eta Mu,Eastern Illinois University,Mattoon,IL,United States,Central Illinois
Eta Omega,Baylor University,Waco,TX,United States,Central Texas
Eta Omicron,Indiana University of Pennsylvania,Indiana,PA,United States,West Virginia/West Pennsylvania
Eta Phi,Troy University,Troy,AL,United States,Alabama/Gulf Coast
Eta Pi,University of Central Florida,Orlando,FL,United States,Central Florida
Eta Rho,University of North Alabama,Florence,AL,United States,Alabama Northern
Eta Sigma,University of California-Irvine,Irvine,CA,United States,Southern California
Eta Tau,Stephen F. Austin State University,Nacogdoches,TX,United States,East Texas
Eta Theta,Georgia Southwestern State University,Americus,GA,United States,North Georgia
Eta Upsilon,Texas A&M University-College Station,College Station,TX,United States,East Texas
Eta Xi,Austin Peay State University,Clarksville,TN,United States,Mid-South
Eta Zeta,Georgia Southern University,Statesboro,GA,United States,South Carolina
Gamma Chi,University of Maryland,College Park,MD,United States,Eastern
Gamma Delta,Oklahoma State University,Stillwater,OK,United States,Oklahoma/Arkansas
Gamma Epsilon,Whitman College,Walla Walla,WA,United States,The Big Sky
Gamma Eta,University of Idaho,Moscow,ID,United States,The Big Sky
Gamma Iota,Louisiana State University,Baton Rouge,LA,United States,Southern
Gamma Kappa,Utah State University,Logan,UT,United States,Utah/Nevada
Gamma Lambda,McGill University,Montreal,PQ,Canada,Saint Lawrence
Gamma Nu,University of South Carolina,Columbia,SC,United States,South Carolina
Gamma Omega,University of Connecticut,Storrs Mansfield,CT,United States,Connecticut/Rhode Island
Gamma Phi,University of Miami,Coral Gables,FL,United States,South Florida/Everglades
Gamma Pi,University of Rochester,Rochester,NY,United States,Northwestern New York
Gamma Rho,Dalhousie University-St. Mary's University,Halifax,NS,Canada,North Atlantic
Gamma Sigma,Auburn University,Auburn,AL,United States,Alabama/Gulf Coast
Gamma Tau,North Dakota State University,Fargo,ND,United States,North Central
Gamma Theta,University of Florida,Gainesville,FL,United States,North Florida
Gamma Upsilon,Mississippi State University,Mississippi State,MS,United States,Southern
Gamma Xi,University of Wyoming,Laramie,WY,United States,Rocky Mountain
Gamma Zeta,Union College,Schenectady,NY,United States,Hudson Valley
Iota Epsilon,College of Charleston,Charleston,SC,United States,South Carolina
Iota Eta,Western Connecticut State University,Danbury,CT,United States,Hudson Valley
Iota Gamma,Jacksonville University,Jacksonville,FL,United States,North Florida
Iota Iota,University of Alabama,Tuscaloosa,AL,United States,Alabama Northern
Iota Kappa,Fairleigh Dickinson University,Denville,NJ,United States,Hudson Valley
Iota Lambda,University of Louisville,Louisville,KY,United States,Central Kentucky
Iota Mu,Wilfrid Laurier University,Waterloo,ON,Canada,Ontario
Iota Nu,Furman University,Greenville,SC,United States,South Carolina
Iota Omega,Loyola Marymount University,Los Angeles,CA,United States,Southern California
Iota Omicron,Western Illinois University,Macomb,IL,United States,Mid-Central
Iota Phi,University of North Texas,Denton,TX,United States,Northern Texas
Iota Pi,Marquette University,Milwaukee,WI,United States,Wisconsin
Iota Sigma,Valparaiso University,Valparaiso,IN,United States,Chicagoland
