College,Sorority Name,Instagram Handle
"Carnegie Mellon University","Alpha Phi",""
"Carnegie Mellon University","Kappa Alpha Theta",""
"Carnegie Mellon University","Delta Gamma",""
"Carnegie Mellon University","Alpha Kappa Delta Phi",""
"Carnegie Mellon University","Alpha Chi Omega",""
"Carnegie Mellon University","Kappa Kappa Gamma",""
"Case Western Reserve University","Delta Sigma Theta",""
"Case Western Reserve University","Phi Sigma Rho",""
"Case Western Reserve University","Sigma Sigma Sigma",""
"Case Western Reserve University","Alpha Phi",""
"Case Western Reserve University","Alpha Gamma Delta",""
"Case Western Reserve University","Alpha Kappa Alpha",""
"Case Western Reserve University","Sigma Gamma Rho",""
"Case Western Reserve University","Phi Mu",""
"Case Western Reserve University","Delta Gamma",""
"Case Western Reserve University","Pi Beta Phi",""
"Case Western Reserve University","Kappa Alpha Theta",""
"Case Western Reserve University","","@cwrusigmachi"
"Case Western Reserve University","Alpha Chi Omega",""
"Case Western Reserve University","Zeta Phi Beta",""
"Centenary College of Louisiana","Chi Omega",""
"Centenary College of Louisiana","Zeta Tau Alpha",""
"Central College","Alpha Xi Delta",""
"Central College","Sigma Phi Lambda",""
"Central College","Chi Omega",""
"Central College","Zeta Phi Beta",""
"Central College","Delta Sigma Theta",""
"Central College","Alpha Delta Pi",""
"Central College","Alpha Kappa Alpha",""
"Central College","Alpha Gamma Delta",""
"Central College","Delta Phi Epsilon",""
"Central College","Gamma Phi Beta",""
"Central College","Alpha Phi",""
"Central College","Alpha Sigma Alpha",""
"Central College","Alpha Sigma Tau",""
"Central College","Phi Mu",""
"Central College","Alpha Chi Omega",""
"Central College","Phi Sigma Sigma",""
"Central College","Sigma Kappa",""
"Central College","Sigma Gamma Rho",""
"Central College","Zeta Tau Alpha",""
"Central College","Sigma Sigma Sigma",""
"Central College","Delta Zeta",""
"Central College","Alpha Omicron Pi",""
"Central Connecticut State University","Phi Sigma Sigma",""
"Centre College","Kappa Delta",""
"Centre College","Kappa Alpha Theta",""
"Centre College","Alpha Delta Pi",""
"Centre College","Delta Delta Delta",""
"Centre College","Kappa Kappa Gamma",""
"Chapman University","Phi Sigma Sigma",""
"Chapman University","Alpha Phi",""
"Chapman University","Kappa Alpha Theta",""
"Chapman University","Alpha Gamma Delta",""
"Chapman University","Kappa Kappa Gamma",""
"Chapman University","Gamma Phi Beta",""
"Chapman University","Pi Beta Phi",""
"Chapman University","Delta Delta Delta",""
"Chapman University","Delta Gamma",""
"Charleston Southern University","Alpha Delta Pi",""
"Charleston Southern University","Alpha Kappa Alpha",""
"Charleston Southern University","Sigma Gamma Rho",""
"Charleston Southern University","Zeta Phi Beta",""
"Chowan University","Alpha Kappa Alpha",""
"Chowan University","Delta Sigma Theta",""
"Chowan University","Alpha Sigma Tau",""
"Chowan University","Zeta Phi Beta",""
"Christian Brothers University","Zeta Tau Alpha",""
"Christian Brothers University","Alpha Xi Delta",""
"Christian Brothers University","Alpha Kappa Alpha",""
"Christian Brothers University","Zeta Phi Beta",""
"Christopher Newport University","Delta Gamma",""
"Christopher Newport University","Alpha Delta Pi",""
"Christopher Newport University","Phi Mu",""
"Christopher Newport University","Zeta Phi Beta",""
"Christopher Newport University","Alpha Phi",""
"Christopher Newport University","Zeta Tau Alpha",""
"Christopher Newport University","Alpha Kappa Alpha",""
"Christopher Newport University","Sigma Alpha Omega",""
"Christopher Newport University","Alpha Sigma Alpha",""
"Christopher Newport University","Gamma Phi Beta",""
"Christopher Newport University","Delta Sigma Theta",""
"Clark Atlanta University","Alpha Kappa Alpha",""
"Clark Atlanta University","Sigma Gamma Rho",""
"Clark Atlanta University","Zeta Phi Beta",""
"Clark University","Kappa Delta Chi",""
"Clark University","Delta Zeta",""
"Clark University","Phi Sigma Sigma",""
"Clark University","Theta Phi Alpha",""
"Clarkson University","",""
"Clemson University","","@clemsonsigmachi"
"Clemson University","",""
"Clemson University","",""
"Clemson University","",""
"Clemson University","",""
"Cleveland State University","Sigma Gamma Rho",""
"Cleveland State University","Alpha Kappa Alpha",""
"Cleveland State University","Zeta Phi Beta",""
"Cleveland State University","Delta Sigma Theta",""
"Cleveland State University","Theta Phi Alpha",""
"Cleveland State University","Delta Zeta",""
"Cleveland State University","Phi Mu",""
"Coastal Carolina University","Sigma Kappa",""
"Coastal Carolina University","Gamma Phi Beta",""
"Coastal Carolina University","Chi Omega",""
"Coastal Carolina University","Phi Sigma Sigma",""
"Coastal Carolina University","Sigma Sigma Sigma",""
"Coastal Carolina University","Alpha Delta Pi",""
"Coastal Carolina University","Alpha Xi Delta",""
"Coastal Carolina University","Delta Sigma Theta",""
"Coastal Carolina University","Alpha Kappa Alpha",""
"Coastal Carolina University","Zeta Phi Beta",""
"Coe College","Alpha Omicron Pi",""
"Coe College","Alpha Sigma Alpha",""
"Coe College","Alpha Gamma Delta",""
"Coe College","Delta Delta Delta",""
"Colgate University","Gamma Phi Beta",""
"Colgate University","Delta Delta Delta",""
"Colgate University","Kappa Kappa Gamma",""
"College of Charleston","Sigma Delta Tau",""
"College of Charleston","Sigma Kappa",""
"College of Charleston","Delta Gamma",""
"College of Charleston","Sigma Gamma Rho",""
"College of Charleston","Delta Delta Delta",""
"College of Charleston","Zeta Tau Alpha",""
"College of Charleston","Alpha Delta Pi",""
"College of Charleston","Phi Mu",""
"College of Charleston","Delta Sigma Theta",""
"College of Charleston","Alpha Kappa Alpha",""
"College of Charleston","Zeta Phi Beta",""
"College of Charleston","Kappa Delta",""
"College of Charleston","Kappa Alpha Theta",""
"College of Charleston","Chi Omega",""
"College of Charleston","",""
"College of Wooster","Zeta Phi Gamma",""
"Colorado College","",""
"Colorado Mesa University","Gamma Phi Beta",""
"Colorado Mesa University","Alpha Sigma Alpha",""
"Colorado School of Mines","Sigma Kappa",""
"Colorado School of Mines","Alpha Phi",""
"Colorado School of Mines","Pi Beta Phi",""
"Colorado School of Mines","Kappa Alpha Theta",""
"Colorado State University","Gamma Phi Beta",""
"Colorado State University","Sigma Alpha",""
"Colorado State University","Delta Delta Delta",""
"Colorado State University","Kappa Delta",""
"Colorado State University","Zeta Tau Alpha",""
"Colorado State University","Kappa Alpha Theta",""
"Colorado State University","Phi Mu",""
"Colorado State University","Pi Beta Phi",""
"Colorado State University","Chi Omega",""
"Colorado State University","Alpha Sigma Kappa",""
"Colorado State University","Kappa Kappa Gamma",""
"Colorado State University","",""
"Columbia University","Kappa Delta Chi",""
"Columbia University","Zeta Phi Beta",""
"Columbia University","Zeta Sigma Chi",""
"Columbia University","Sigma Gamma Rho",""
